,Municipio,Departamento,Entidad,País,Fundación,Erección,Superficie (km²),Altitud Media (m.s.n.m),Población Total (hab),Pobl. Urbana (hab),Densidad (hab/km²),Coordenadas,Clima,Gentilicio,Alcalde,Código Postal,Huso horario
272,San Pablo (Bolívar),Bolívar,Municipio,Colombia,1543-01-01 00:00:00,1968-10-23 00:00:00,2086.0,75.0,35500.0,30395.0,18.38,7°28′35″N  73°55′23″O,,Sanpablense,Omar Bohórquez Rojas,761001,UTC  -5
273,Flandes,Tolima,Municipio,Colombia,1875,1954-01-05 00:00:00,95.0,285.0,29106.0,25056.0,310.29,4°17′04″N  74°48′51″O,,"Flamenco, -a",Yovanny Herrera Diaz,733510,UTC  -5
274,Caicedonia,Valle del Cauca,Municipio,Colombia,1910-08-03 00:00:00,1923-04-20 00:00:00,169.62,1100.0,29824.0,24441.0,131.62,4°20′05″N  75°49′41″O,,"Caicedonita, caicedonense",Carlos Alberto Orozco Franco,762540,UTC  -5
275,San Alberto,Cesar,Municipio,Colombia,1955-05-20 00:00:00,1977,676.1,125.0,24652.0,18278.0,43.45,7°45′33″N  73°23′35″O,,Sanalbertense,Carlos Arturo Ríos Vera,205070,UTC  -5
276,Alto Baudó,Chocó,Municipio,Colombia,,1958-11-25 00:00:00,1532.0,50.0,36773.0,9563.0,26.59,5°30′55″N  76°58′29″O,,"Baudoseño, -a",Ulises Palacios Palacios,276070,UTC  -5
277,Repelón,Atlántico,Municipio,Colombia,1650,1848-10-25 00:00:00,330.0,9.0,26095.0,17718.0,75.61,10°29′40″N  75°07′27″O,,"Repelonero, -a",Wilfrido García Muñoz,85040,UTC  -5
278,La Macarena,Meta,Municipio,Colombia,1954,,11229.0,233.0,32861.0,4458.0,8.48,2°10′58″N  73°47′05″O,,"Macareño, -a  Macarenence",Ismael Medellín Dueñas,505021,UTC  -5
279,Tarazá,Antioquia,Municipio,Colombia,1953-02-24 00:00:00,1979,1560.0,125.0,42964.0,27657.0,25.02,7°35′02″N  75°24′01″O,,Taraceño,Deivinson Montero,52460,UTC  -5
280,La Virginia,Risaralda,Municipio,Colombia,1888,1959-11-28 00:00:00,33.0,899.0,32037.0,31503.0,,4°53′48″N  75°53′02″O,,"Virginiano, -a",José Villada,662001,UTC  -5
281,Guamal,Magdalena,Municipio,Colombia,1747-07-16 00:00:00,1886-10-11 00:00:00,554.0,20.0,27253.0,7852.0,,9°08′39″N  74°13′25″O,,"Guamalero, -a Guamalense",Osmer Diaz Alfaro,507051,UTC  -5
282,Ituango,Antioquia,Municipio,Colombia,1844,1847,2347.0,1550.0,27074.0,7074.0,,7°10′16″N  75°45′49″O,,Ituanguinos,Edwin Mauricio Mira Sepúlveda,52070,UTC  -5
283,Samaniego,Nariño,Municipio,Colombia,1837-06-05 00:00:00,1848-04-24 00:00:00,765.0,1470.0,49545.0,18852.0,205.77,1°20′11″N  77°35′33″O,,Samanieguense,Nixon Efraín Andrade,526040,UTC  -5
284,Guapi,Cauca,Municipio,Colombia,1772-12-11 00:00:00,1872,2688.0,6.0,29797.0,18199.0,,2°34′11″N  77°53′10″O,Ecuatorial  Af,"Guapireño, -a",Plutarco Marino Grueso Obregón,196001,UTC  -5
285,San Carlos,Córdoba,Municipio,Colombia,1777-05-03 00:00:00,1923,505.0,20.0,27104.0,5679.0,56.63,8°47′40″N  75°41′58″O,,Sancarlense,Leda López,232501,UTC  −5
286,Nechí,Antioquia,Municipio,Colombia,1636-06-13 00:00:00,1982,914.0,30.0,25790.0,13174.0,,8°05′45″N  74°46′30″O,,"Nechiano, -a",Marcos Javier Madera Camero,52420,UTC  -5
287,Quinchía,Risaralda,Municipio,Colombia,1888-11-29 00:00:00,1919-03-12 00:00:00,149.8,1825.0,33754.0,8195.0,227.0,5°20′22″N  75°43′46″O,,"Quinchieña, -o   Quinchiana, -o",Absalon Trejos Arias,664001,UTC  -5
288,Santa Bárbara,Antioquia,Municipio,Colombia,1774-10-17 00:00:00,1822,491.0,1800.0,26784.0,12083.0,115.75,5°52′29″N  75°33′58″O,,"Santabarbareño, -a Santabarbarense",Luis Fernando Tangarife Cardona,681021,UTC  -5
289,Amalfi,Antioquia,Municipio,Colombia,1838,1843,1210.0,1550.0,25962.0,14508.0,18.77,6°54′33″N  75°04′36″O,,"Amalfitano, -a",Federico Gil Jaramillo,52840,UTC  -5
290,Rionegro,Santander,Municipio,Colombia,1805-05-05 00:00:00,,1277.5,590.0,27114.0,6759.0,24.66,7°15′51″N  73°08′58″O,,"Rionegrano, -a",Ruben Dario Villabona perez,687511,UTC  -5
291,Santa Fe de Antioquia,Antioquia,Municipio,Colombia,1541-12-04 00:00:00,1547,493.0,500.0,26164.0,16351.0,46.17,6°33′23″N  75°49′39″O,,"Santafereño, -a",Andrés Felipe Pardo Serna,110311,UTC  -5
292,Palermo,Huila,Municipio,Colombia,1774-01-07 00:00:00,1973-01-04 00:00:00,695.0,609.0,32104.0,15760.0,8668.33,2°53′18″N  75°26′02″O,,"Palermuno, -a",Natalia Caviedes Chinchilla,412001,UTC  -5
293,Sardinata,Norte de Santander,Municipio,Colombia,,1906-08-25 00:00:00,1451.17,320.0,22632.0,9188.0,15.78,8°05′01″N  72°48′01″O,,Sardinatense,HERMIDES MONCADA OSORIO,545530,UTC  -5
294,Timbiquí,Cauca,Municipio,Colombia,1772,1915-12-10 00:00:00,1813.0,5.0,21738.0,4310.0,12.18,2°46′19″N  77°39′54″O,,"Timbiquireño, -a",,196030,UTC  -5
295,Argelia,Cauca,Municipio,Colombia,1912,1967-11-08 00:00:00,655.6,1250.0,26144.0,2367.0,38.81,2°15′21″N  77°14′57″O,,"Argeliano, -a",Jhonnatan Patiño Cerón 2020-2023,761510,UTC  -5
296,San Martín de los Llanos,Meta,Municipio,Colombia,1585-12-11 00:00:00,1867-09-01 00:00:00,5959.0,405.0,24670.0,21960.0,4.01,3°41′49″N  73°41′55″O,,Sanmartinero,Carlos Enrique Melo Valencia,507021,UTC  -5
297,Ciudad Bolívar,Antioquia,Municipio,Colombia,1839-08-05 00:00:00,1869,282.0,1400.0,26118.0,15604.0,97.37,5°50′58″N  76°01′13″O,,Ciudad,Mauricio Marquez Valencia,761001,UTC  -5
298,Puerto Rico (Caquetá),Caquetá,Municipio,Colombia,1882,1967-09-30 00:00:00,2790.0,523.0,33347.0,14207.0,,1°54′27″N  75°09′30″O,,"Puertorriqueño, -a",Wilmer Cárdenas Rodríguez,503061,UTC  -5
299,El Colegio,Cundinamarca,Municipio,Colombia,1653-09-20 00:00:00,1842-12-17 00:00:00,117.0,990.0,21832.0,8336.0,,4°34′51″N  74°26′33″O,,Colegiuno-a,Andres Hernando Guerrero Puerto,252630,UTC  -5
300,Santa Ana,Magdalena,Municipio,Colombia,1750-07-26 00:00:00,1918,1120.0,120.0,25938.0,13034.0,17.54,9°19′10″N  74°34′14″O,,"Santanero, -a",Willman Bermudez,474020,UTC  -5
301,Pacho,Cundinamarca,Municipio,Colombia,1604-08-25 00:00:00,1807,403.0,1905.0,30179.0,18576.0,69.37,5°07′50″N  74°09′30″O,,"Pachuno, -a",Vicente Ostos,254001,UTC  -5
302,Planadas,Tolima,Municipio,Colombia,1920,1966-11-25 00:00:00,1445.0,1450.0,29935.0,7621.0,,3°11′47″N  75°38′40″O,,"Planaduno, -a",Jhon Jairo Hueje,735070,UTC  -5
303,Ponedera,Atlántico,Municipio,Colombia,1743-11-23 00:00:00,1965,204.0,15.0,23420.0,11266.0,113.94,10°38′31″N  74°45′11″O,,Ponederense,Diana Carolina Martínez Forero,84001,UTC  -5
304,Isnos,Huila,Municipio,Colombia,1653-12-05 00:00:00,1963,361.0,2075.0,27147.0,5862.0,,1°55′44″N  76°12′57″O,,Isnense,Gaby Angelita Ñáñez Rodríguez,418040,UTC  -5
305,Zaragoza,Antioquia,Municipio,Colombia,1581-09-14 00:00:00,1770,1064.0,50.0,30738.0,13978.0,27.83,7°29′23″N  74°52′03″O,,"Zaragoceño, -ña Zaragozano, -na",Víctor Darío Perlaza Hinestroza,52440,UTC  -5
306,Totoró,Cauca,Municipio,Colombia,1815-01-30 00:00:00,1835,421.98,2750.0,24558.0,1319.0,,2°30′37″N  76°24′07″O,,"Totoreño, -a",Hilario Sánchez Sánchez,192570,UTC  -5
307,Magüí Payán,Nariño,Municipio,Colombia,1871,1937-06-07 00:00:00,2989.0,394.0,23136.0,4769.0,,1°45′57″N  78°10′58″O,,"Magüireño, -a",Alejandro Juvenal Quiñones Cabezas,151820,UTC  -5
308,Corinto,Cauca,Municipio,Colombia,1867-05-25 00:00:00,1868-05-11 00:00:00,302.0,1050.0,31872.0,12932.0,,3°10′26″N  76°15′34″O,,"Corinteño, -a",Martha Velasco,191560,UTC  -5
309,Acevedo,Huila,Municipio,Colombia,1756-08-06 00:00:00,1898-06-25 00:00:00,612.0,1348.0,39354.0,15341.0,,1°48′17″N  75°53′23″O,22 °C,Aceveduno - a,Gentil Tapiero Buitrago,417070,UTC - 5
310,Villanueva,Bolívar,Municipio,Colombia,1770-12-06 00:00:00,,225.0,150.0,19691.0,18233.0,152.77,10°26′39″N  75°16′29″O,,"Villanuevero, -a",Edwin Puerta Orozco,684021,UTC  -5
311,Vélez,Santander,Municipio,Colombia,1539-09-14 00:00:00,,271.34,2050.0,19057.0,10231.0,75.23,6°00′47″N  73°40′25″O,,"Veleño, -a",Angélica Mateus,685561,UTC  -5
312,Olaya Herrera,Nariño,Municipio,Colombia,,1975-11-30 00:00:00,2929.0,4.0,31593.0,9924.0,,2°20′49″N  78°19′32″O,,Olayense,Elsa Yaneth Mosquera,527560,UTC  -5
313,Tauramena,Casanare,Municipio,Colombia,1887,1961,2607.2,460.0,22076.0,14771.0,10.35,5°01′00″N  72°45′00″O,,"Tauramenero, -a",Tele Wosbon Amaya Zorro,854030,UTC  -5
314,Rivera,Huila,Municipio,Colombia,1888-01-03 00:00:00,1943-05-17 00:00:00,435.0,700.0,18797.0,10681.0,,2°46′38″N  75°15′19″O,,Riverense,"John Jairo Yepes Perdomo  Alcalde actual 
Secretaría de Gobierno Deissi Rueda
 Secretario De Desarrollo Lester Garrido 
 Secretario de Planeación Edwin Varón
 Secretario de Hacienda Alex Nelson 
 
Gerente ESE Tania Patricia Trujillo",413001,UTC  -5
315,Achí,Bolívar,Municipio,Colombia,1817,1934-09-24 00:00:00,1471.0,20.0,23051.0,4106.0,15.67,8°34′09″N  74°33′22″O,,"Achiano, -a",Juan Carlos Becerra Guzmán,134020,UTC  -5
316,El Rosal,Cundinamarca,Municipio de Colombia,Colombia,1903-03-28 00:00:00,1997-09-25 00:00:00,86.5,2685.0,17254.0,12347.0,199.47,4°51′07″N  74°15′46″O,,"Rosaluno, -a",Gustavo Campos,250210,UTC  -5
317,El Retiro,Antioquia,Municipio,Colombia,1790,1814-10-15 00:00:00,244.0,2175.0,23514.0,12479.0,62.18,6°03′35″N  75°30′14″O,,"Guarceño, -a",Nolber de Jesús Bedoya Puerta,55430,UTC  -5
318,Fredonia,Antioquia,Municipio,Colombia,1790-10-02 00:00:00,1830-10-02 00:00:00,247.0,1600.0,24408.0,8031.0,,5°55′36″N  75°40′26″O,,Fredonita,Gustavo de Jesús Guzmán Maldonado,55070,UTC  -5
319,Gigante,Huila,Municipio,Colombia,1782-09-17 00:00:00,1789,626.0,809.0,34410.0,18775.0,,2°23′12″N  75°32′46″O,,"Giganteño, -a",Cesar German Roa Trujillo,414001,UTC  -5
320,Belén de Umbría,Risaralda,Municipio,Colombia,1890-08-10 00:00:00,1911,182.4,1525.0,27721.0,13126.0,,5°12′02″N  75°52′08″O,,Belumbrense,Jesús Antonio Bermúdez Gallego,664040,UTC  -5
321,Pinillos,Bolívar,Municipio,Colombia,1842,1848-10-23 00:00:00,753.5,31.0,24923.0,2683.0,,8°54′54″N  74°27′43″O,,"Pinillero, -a",Marcos Perez,134001,UTC  -5
322,La Vega,Cauca,Municipio,Colombia,1777-09-09 00:00:00,1874,494.0,2136.0,45563.0,3239.0,,2°00′03″N  76°46′40″O,,"Vegueño, -a",Oscar Fernando Molano Ordoñez,253610,UTC  -5
323,San Jacinto,Bolívar,Municipio,Colombia,1776-08-16 00:00:00,,462.0,239.0,28505.0,20772.0,49.87,9°49′52″N  75°07′19″O,,"Sanjacintero, -a",Jorge Castellar Schmith,132030,UTC  -5
324,Honda,Tolima,Municipio,Colombia,1539-08-24 00:00:00,1643-03-04 00:00:00,309.0,225.0,34781.0,34023.0,77.12,5°12′25″N  74°44′12″O,,"Hondano, -a",Richar Fabián Cardozo Contreras,732040,UTC  -5
325,Bugalagrande,Valle del Cauca,Municipio,Colombia,,1886,374.0,950.0,21167.0,11902.0,,4°12′27″N  76°09′27″O,,"Bugalagrandeño, -a",Julio César Rojas Trujillo,763001,UTC  -5
326,Cogua,Cundinamarca,Municipio,Colombia,1604-08-23 00:00:00,,136.0,2630.0,22361.0,7736.0,213.2,5°03′43″N  73°58′46″O,,"Coguano, -a",Flor María Murcia Murcia,250401,UTC  -5
327,Puerto Escondido,Córdoba,Municipio,Colombia,1854,1961,423.2,30.0,29141.0,4863.0,,9°01′09″N  76°15′41″O,,"Porteño, -a",,235001,UTC  -5
328,Tabio,Cundinamarca,Municipio,Colombia,1603-04-08 00:00:00,1761,74.5,2569.0,27033.0,13145.0,396.41,4°54′57″N  74°05′54″O,,"Tabiuno, -na",Pablo Enrique Camacho Carrillo,250230,UTC  -5
329,Villagarzón,Putumayo,Municipio,Colombia,1946-12-08 00:00:00,1977-03-14 00:00:00,1250.0,426.0,21134.0,10914.0,17.21,1°01′46″N  76°36′59″O,,Villagarzonense,José Andrés López Muñoz,861080,UTC  -5
330,Tenjo,Cundinamarca,Municipio,Colombia,1603-04-08 00:00:00,,108.0,2685.0,18387.0,10915.0,187.68,4°52′11″N  74°08′38″O,,"Tenjano, -a",Sonia Patricia González Bernal,250201,UTC  -5
331,El Piñón,Magdalena,Municipio,Colombia,1770-08-03 00:00:00,1915-04-20 00:00:00,581.0,11.0,24083.0,6162.0,30.63,10°24′14″N  74°49′23″O,,"Piñonero, -a",Jhair Aberto Caballero Varela,476001,UTC  -5
332,Buesaco,Nariño,Municipio,Colombia,1618-01-12 00:00:00,1954,682.0,1959.0,22360.0,5456.0,,1°23′05″N  77°09′23″O,,"Buesaqueño, -a",Nilson Luis López,520501,UTC  -5
333,Los Palmitos,Sucre,Municipio,Colombia,1933,1968-11-28 00:00:00,125.0,175.0,19257.0,9014.0,154.06,9°22′49″N  75°16′06″O,,"Palmitero, -a",Diana Perez Marquez,706030,UTC  -5
334,Campo de la Cruz,Atlántico,Municipio,Colombia,1634-05-03 00:00:00,,144.0,7.0,16035.0,14060.0,174.8,10°22′40″N  74°52′53″O,,Campocrucense  Campocruceño -a,Richard José Gómez Martinez,84040,UTC  -5
335,Purificación (Tolima),Tolima,Municipio,Colombia,1664-05-25 00:00:00,,422.0,329.0,29284.0,17702.0,70.56,3°51′24″N  74°55′57″O,,Purificense,Cristian Andrés Barragán,734501,UTC  -5
336,Dabeiba,Antioquia,Municipio,Colombia,1850,1887,1883.0,450.0,23044.0,9042.0,,7°00′05″N  76°15′40″O,,"Dabeibano, -a
 
superficie-zona urbana = 105.hectáreas 0886m²",Leyton Urrego Durango,57430,UTC  -5
337,Yolombó,Antioquia,Municipio,Colombia,1560,1883,941.0,1450.0,23958.0,7216.0,27.26,6°35′52″N  75°00′44″O,,"Yolombino, -a",Don Iván Ochoa,53020,UTC  -5
338,Silvania,Cundinamarca,Municipio,Colombia,1935-02-21 00:00:00,1936-02-10 00:00:00,163.0,1470.0,22020.0,6304.0,135.09,4°24′12″N  74°23′17″O,,Silvanense,Nohora Elizabeth Sánchez Suarez,252240,UTC  -5
339,Ovejas,Sucre,Municipio,Colombia,1776-06-02 00:00:00,,447.0,254.0,21091.0,11947.0,46.64,9°31′33″N  75°13′38″O,,"Ovejero, -a",Freddy Ricardo Cantillo,701030,UTC  -5
340,Chibolo,Magdalena,Municipio,Colombia,1820-11-23 00:00:00,1974-03-08 00:00:00,527.0,135.0,15960.0,10801.0,25.78,10°01′35″N  74°37′17″O,,"Chibolero, -a",Tirzo Manuel Armella Sierra,476060,UTC  -5
341,Morales,Bolívar,Municipio,Colombia,1610-09-22 00:00:00,1845,1338.0,25.0,21182.0,5842.0,12.0,8°16′37″N  73°52′00″O,,"Moralero, -a",Neguib Antonio Eslait Barrios,190550,UTC  -5
342,Becerril,Cesar,Municipio,Colombia,1594-03-04 00:00:00,1977,1144.0,200.0,13453.0,10341.0,11.76,9°42′11″N  73°16′39″O,,"Becerrilero, -a",Raúl Fernando Machado Luna,203001,UTC  -5
343,Galeras,Sucre,Municipio,Colombia,1782,1968-10-24 00:00:00,321.0,80.0,20188.0,12364.0,66.08,9°09′31″N  75°02′56″O,,"Galerano, -a",José Ignacio Hernández Vega,702050,UTC  -5
344,Cumaral,Meta,Municipio,Colombia,1901-07-03 00:00:00,1955-07-03 00:00:00,618.62,452.0,18020.0,12230.0,31.07,4°16′10″N  73°29′11″O,,"Cumaraleño, -a",Román Bernal,501021,UTC  -5
345,Calamar,Bolívar,Municipio,Colombia,1848-01-01 00:00:00,,246.0,10.0,23308.0,13158.0,,10°15′00″N  74°54′57″O,,Calamarense,Alejandro Mario de Jesús Arrazola Sagbini,953001,UTC  -5
346,Mercaderes,Cauca,Municipio,Colombia,1535-12-24 00:00:00,,827.0,1167.0,18061.0,5096.0,,1°47′43″N  77°09′55″O,,"Mercadereño, -a",Fernando Díaz Salamanca,195060,UTC  -5
347,Aguadas,Caldas,Municipio,Colombia,1808-07-05 00:00:00,,482.7,2214.0,22081.0,11509.0,,5°36′33″N  75°27′23″O,,"Aguadeño, -a",Diego Fernando González Marín,685521,UTC −5
348,Ginebra,Valle del Cauca,Municipio,Colombia,1909-02-09 00:00:00,1949-12-16 00:00:00,313.0,1100.0,21055.0,10119.0,69.7,3°43′28″N  76°16′02″O,,"Ginebrino, -a",Álvaro Alfonso Domínguez,763510,UTC  -5
349,Moniquirá,Boyacá,Municipio,Colombia,1556,1825-03-26 00:00:00,220.0,1669.0,21402.0,10544.0,97.28,5°52′28″N  73°34′18″O,,"Moniquireño, -a",José Clodomiro Ariza Pardo,154260,UTC  -5
350,Litoral de San Juan,Chocó,Municipio,Colombia,1968-03-27 00:00:00,1993-01-01 00:00:00,3755.0,25.0,15251.0,1341.0,4.06,4°15′31″N  77°22′03″O,,Litoralense,Elio Carlino Moreno Ibárgüen,0,UTC  -5
351,San Pedro de los Milagros,Antioquia,Municipio,Colombia,1659-11-06 00:00:00,1813-08-09 00:00:00,229.0,2468.0,23244.0,13469.0,124.18,6°27′34″N  75°33′28″O,,"Sampedreño, -a Sampedrense",Gustavo León Zapata Barrientos,763030,UTC  -5
352,Juan de Acosta,Atlántico,Municipio,Colombia,1892-08-20 00:00:00,,176.0,70.0,18828.0,11358.0,80.59,10°49′43″N  75°02′06″O,,"Costero, -a",Carlos Higgins Villanueva,81040,UTC  -5
353,Suaza,Huila,Municipio,Colombia,1748,1842-10-20 00:00:00,336.0,990.0,21106.0,4225.0,55.14,1°58′30″N  75°47′44″O,,Suaceño(a),José Ricardo Cabrera Artunduaga,416080,UTC  -5
354,Rioblanco,Tolima,Municipio,Colombia,1900,1948-12-12 00:00:00,1443.0,900.0,24553.0,4673.0,11.0,3°31′45″N  75°38′41″O,,"Rioblancuno, -a",Elisabeth Barbosa,735580,UTC  -5
355,Andalucía,Valle del Cauca,Municipio,Colombia,1836,1884-01-16 00:00:00,168.0,995.0,17811.0,14658.0,,4°10′15″N  76°09′54″O,,Andaluces,Ellicel Arcila,763010,UTC  -5
356,Algeciras,Huila,Municipio,Colombia,1824-02-10 00:00:00,1924-04-08 00:00:00,567.7,1528.0,24611.0,15505.0,43.52,2°31′19″N  75°18′52″O,,"Algecireño, -a",Libardo Pinto Liscano,413040,UTC  -5
357,El Charco,Nariño,Municipio,Colombia,1886-10-16 00:00:00,1967,2485.0,5.0,38207.0,10461.0,44.32,2°28′39″N  78°06′40″O,,"Charqueño, -a",Víctor Candelo Reina,527520,UTC  -5
358,Coyaima,Tolima,Municipio,Colombia,1621-03-29 00:00:00,1863-02-21 00:00:00,664.33,392.0,29304.0,4783.0,42.81,3°47′51″N  75°11′38″O,,"Coyaimuno, -a",william walter luna yara,735020,UTC  -5
359,San Vicente,Antioquia,Municipio,Colombia,1759-10-03 00:00:00,1814,243.0,2150.0,22093.0,5464.0,90.92,6°16′55″N  75°19′56″O,,Sanvicentino Ferrerino,Yimi Aley Giraldo Marín,54010,UTC  -5
360,Santa Rosa de Lima,Bolívar,Municipio,Colombia,1735-07-03 00:00:00,,154.0,43.0,22592.0,14553.0,163.54,10°26′44″N  75°22′07″O,,"Santarrosero, -a",Mario Javier Rodriguez Hernandez,194520,UTC  -5
361,La Unión,Antioquia,Municipio,Colombia,1778,1911-07-01 00:00:00,198.0,2500.0,21475.0,12724.0,96.56,5°58′22″N  75°21′40″O,"Oceánico  Cfb Clima húmedo de montaña  Cfbi 
 
17 °C (promedio)",Unitense,Alexander Osorio Londoño,761540,UTC  -5
362,Pelaya,Cesar,Municipio,Colombia,1948-02-02 00:00:00,1983,371.3,50.0,17910.0,12038.0,48.27,8°41′21″N  73°39′55″O,,Pelayense,Alexander Quintero Contreras,204040,UTC  -5
363,Toluviejo,Sucre,Municipio,Colombia,1534-03-19 00:00:00,,276.49,2.0,18897.0,5445.0,68.22,9°27′07″N  75°26′22″O,,"Toluviejano, -a",,0,UTC  -5
364,Chocontá,Cundinamarca,Municipio,Colombia,1563-09-06 00:00:00,1573,301.0,2689.0,25257.0,12867.0,83.91,5°08′48″N  73°40′57″O,,"Chocontano, -a",Rodrigo Armando Chicuasuque Fernandez,250801,UTC  -5
365,Timaná,Huila,Municipio,Colombia,1538-12-18 00:00:00,,182.5,1100.0,20315.0,7321.0,103.35,1°57′00″N  75°54′50″O,,Timanense,Juan Bautista Rojas Parra,417010,UTC  -5
366,Hatonuevo,La Guajira,Municipio,Colombia,1840-10-24 00:00:00,1994-11-09 00:00:00,249.0,50.0,24916.0,13989.0,82.63,11°04′02″N  72°45′47″O,,"Hatonuevero, -a",Luis Arturo Palmezano,683571,UTC  -5
367,El Tarra,Norte de Santander,Municipio,Colombia,1943,1990-11-26 00:00:00,481.53,160.0,10957.0,4452.0,22.75,8°34′32″N  73°05′40″O,,Tarrense,Jose de dios Toro Villegas,548050,UTC  -5
368,El Carmen de Chucurí,Santander,Municipio,Colombia,1938,1986-06-04 00:00:00,914.0,1160.0,20099.0,5830.0,,6°41′53″N  73°30′40″O,,"Carmeleño, -a",Diego Plata Álvarez,686561,UTC  -5
369,El Peñol,Antioquia,Municipio,Colombia,1714-06-20 00:00:00,1774,143.0,2100.0,21049.0,11022.0,,6°13′08″N  75°14′31″O,,"Peñolense Peñolita Peñolero, -a",Sorany Andrea Marín Marín,522080,UTC  -5
370,Concordia,Antioquia,Municipio,Colombia,1848-06-18 00:00:00,1877,250.0,2000.0,21377.0,7349.0,,6°02′44″N  75°54′27″O,,Concordianos Concordenses,Carlos Gustavo Quijano Restrepo,476030,UTC  -5
371,Málaga,Santander,Municipio,Colombia,1542-03-10 00:00:00,1695-01-08 00:00:00,58.0,2235.0,18738.0,,,6°41′58″N  72°43′58″O,,"Malagueño, -a",Oscar Miguel Joya Arenales,682011,UTC  -5
372,San Roque,Antioquia,Municipio,Colombia,1880,1884-01-06 00:00:00,441.0,1475.0,21519.0,6481.0,48.8,6°29′07″N  75°01′11″O,,"Sanrocano, -a",Javier Alberto Lopez Garcia.,53030,UTC  -5
373,Rovira,Tolima,Municipio,Colombia,1570-10-13 00:00:00,1887-10-13 00:00:00,818.0,949.0,20452.0,9923.0,27.63,4°14′21″N  75°14′25″O,,Rovirense,Diego Andrés guerra,733040,UTC  -5
374,Buenavista,Córdoba,Municipio,Colombia,1950-03-24 00:00:00,1969-11-13 00:00:00,846.0,60.0,21628.0,8296.0,,8°13′24″N  75°28′54″O,,"Buenavistero, -a",Félix Gutiérrez Córdoba,702030,UTC  -5
375,Manatí,Atlántico,Municipio,Colombia,1680,,206.0,10.0,15723.0,14200.0,65.32,10°26′53″N  74°57′33″O,,"Manatiero, -a",Evaristo Enrique Olivero Sanjuanelo,85020,UTC  -5
376,Balboa,Cauca,Municipio,Colombia,1912,1967-10-20 00:00:00,402.83,1200.0,25589.0,7484.0,73.29,2°02′26″N  77°12′59″O,,Balboense,Johnny Alexander Dávila Imbachi,662010,UTC  -5
377,Villa Rica,Cauca,Municipio,Colombia,1936,1998-11-11 00:00:00,74.3,982.0,16189.0,12627.0,207.55,3°10′25″N  76°27′47″O,,Villaricense,Royer Escobar Gómez,191060,UTC  -5
378,Nueva Granada,Magdalena,Municipio,Colombia,1885,1996-06-04 00:00:00,843.0,20.0,19783.0,8175.0,25.64,9°48′04″N  74°23′30″O,,"Granadino, -a",Joaquín Alfonso Cortina Sulvarán,475020,UTC  -5
379,Neira,Caldas,Municipio,Colombia,1842-02-27 00:00:00,,350.56,1969.0,30513.0,16209.0,,5°09′59″N  75°31′08″O,,"Neirano, -a",Luis Gonzaga Correa,171001,UTC  -5
380,Astrea,Cesar,Municipio,Colombia,1936-04-18 00:00:00,,563.0,200.0,19195.0,9935.0,,9°29′49″N  73°58′34″O,,"Astreano, -a",Juan Manuel Ortega Rapalino,201040,UTC  -5
381,El Retén,Magdalena,Municipio,Colombia,1913-06-24 00:00:00,1996-05-03 00:00:00,251.4,22.0,20981.0,16270.0,78.29,10°36′38″N  74°16′06″O,,"Retenera, -o",Jorge Eliecer Serrano Casalins,478060,UTC  -5
382,San Juan de Urabá,Antioquia,Municipio,Colombia,1896-06-24 00:00:00,1986,239.0,2.0,20093.0,6624.0,113.59,8°45′40″N  76°31′43″O,,sanjuanero,Osbaldo Angulo De La Rosa,57810,UTC -5
383,Frontino,Antioquia,Municipio,Colombia,1806-12-12 00:00:00,1850,1263.0,1350.0,20739.0,8639.0,,6°46′43″N  76°07′53″O,,"Frontineño, -a",Jorge Hugo Elejalde Lopez,57450,UTC  -5
384,San Sebastián de Buenavista,Magdalena,Municipio,Colombia,1748-01-20 00:00:00,1957-12-13 00:00:00,413.0,23.0,17483.0,5768.0,41.53,9°14′21″N  74°21′07″O,,Sansebastianero (a),Albenis Arevalo Martínez,473001,UTC  -5
385,San Diego de las Flores,Cesar,Municipio,Colombia,1609-07-19 00:00:00,1852-10-16 00:00:00,670.0,180.0,13376.0,7494.0,19.47,10°19′57″N  73°10′51″O,,"Sandiegano, -a",Carlos Mario Calderón Ortega,202030,UTC  -5
386,Puerto Carreño,Vichada,Municipio,Colombia,1930-07-16 00:00:00,1974-08-05 00:00:00,12409.0,51.0,15753.0,13217.0,1.35,6°11′20″N  67°29′09″O,Tropical seco  Aw,Carreñense,Jair Esteban Beltran Hinojosa,990001,UTC  -5
387,Abejorral,Antioquia,Municipio,Colombia,1811-01-15 00:00:00,1814,491.0,2275.0,20367.0,7674.0,,5°47′26″N  75°25′37″O,,"Abejorraleño, -ña Abejorralenses",Julián Andrés Muñoz López,55030,UTC  -5
388,Fortul,Arauca,Municipio,Colombia,1920-01-07 00:00:00,1989-12-15 00:00:00,1125.0,246.0,26107.0,13081.0,,6°47′35″N  71°46′17″O,,"Fortuleño, -a",Javier Alonso Cabrera Huertas,814050,UTC  -5
389,Momil,Córdoba,Municipio,Colombia,1776-11-17 00:00:00,1963,152.0,18.0,14864.0,9495.0,,9°14′23″N  75°40′39″O,,"Momilero, -a",Gabriel Antonio Bittar Díaz,232001,UTC  -5
