,Municipio,Departamento,Entidad,País,Fundación,Erección,Superficie (km²),Altitud Media (m.s.n.m),Población Total (hab),Pobl. Urbana (hab),Densidad (hab/km²),Coordenadas,Clima,Gentilicio,Alcalde,Código Postal,Huso horario
994,Chiscas,Boyacá,Municipio,Colombia,1777-03-07 00:00:00,1811,659.0,2368.0,4291.0,909.0,6.51,6°33′11″N  72°29′58″O,,"Chiscano, -a",Camilo Andrés Caicedo Silva,151401,UTC  -5
995,La Jagua del Pilar,La Guajira,Municipio,Colombia,1795-10-12 00:00:00,1998-05-06 00:00:00,267.0,223.0,3213.0,2276.0,,10°30′36″N  73°04′17″O,,"Jaguero, -a",Waldim soto duran,445040,UTC  -5
996,Tenza,Boyacá,Municipio,Colombia,1537-06-24 00:00:00,1778-05-06 00:00:00,51.0,1530.0,4112.0,1229.0,80.63,5°04′37″N  73°25′16″O,,"Tenzano, -a",José Luis Gomez Alfonso,153201,UTC  -5
997,Cucaita,Boyacá,Municipio,Colombia,1556-08-12 00:00:00,,43.6,2650.0,4687.0,1905.0,107.55,5°32′38″N  73°27′15″O,,Cucaitense,José Moises Castillo Duarte,154060,UTC  -5
998,Suárez,Tolima,Municipio,Colombia,1696-08-23 00:00:00,1903-05-16 00:00:00,194.0,290.0,19690.0,,,4°02′51″N  74°49′50″O,,Suarense,Lucelly Villalba de Suarez,733580,UTC  -5
999,San José de la Montaña,Antioquia,Municipio,Colombia,1916-03-17 00:00:00,1964-10-31 00:00:00,127.0,2550.0,3646.0,2353.0,28.71,6°50′59″N  75°41′01″O,,"Josefino, -a",Edison Mauricio Correa,177040,UTC  -5
1000,Nimaima,Cundinamarca,Municipio,Colombia,1710,1882-12-13 00:00:00,62.0,1085.0,6679.0,2875.0,113.2,5°07′34″N  74°23′09″O,,Nimaimense,Josué Ortiz Moreno,253630,UTC  -5
1001,Morelia,Caquetá,Municipio,Colombia,1922-06-23 00:00:00,1985-11-12 00:00:00,465.0,544.0,3813.0,1894.0,,1°29′09″N  75°43′28″O,,"Moreliano, -a",Hernán Flórez Cuellar,185010,UTC  -5
1002,Cerinza,Boyacá,Municipio,Colombia,1554-01-07 00:00:00,1781,61.63,2750.0,3762.0,1547.0,61.04,5°57′23″N  72°56′49″O,,"Cerinzano, -a",Juan Alcibiades Cely Amaya,150620,UTC  -5
1003,Contratación,Santander,Municipio,Colombia,,,120.0,1600.0,3491.0,2698.0,,6°17′24″N  73°28′24″O,,"Contraseño, -a",Jose Eusebio Guaje Cuida,683071,UTC  -5
1004,Tópaga,Boyacá,Municipio,Colombia,1593-03-06 00:00:00,1832,37.0,2900.0,3694.0,1406.0,99.84,5°46′04″N  72°49′54″O,,Topaguense,Álvaro Henry Barrera Díaz,152040,UTC  -5
1005,Santiago,Norte de Santander,Municipio,Colombia,1742-05-22 00:00:00,1911-05-22 00:00:00,173.0,450.0,2823.0,1358.0,16.32,7°51′56″N  72°42′57″O,,"Santiaguero, -a",Álvaro Ureña Gomez,861060,UTC  -5
1006,Coper,Boyacá,Municipio,Colombia,1776-11-23 00:00:00,,202.0,950.0,3019.0,,,5°28′26″N  74°02′51″O,,"Copereño, -a",Aurora del Carmen Nieto Molina,154860,UTC  -5
1007,Sabanalarga (Casanare),Casanare,Municipio,Colombia,1890,1965-12-03 00:00:00,269.4,450.0,5087.0,1506.0,12.47,4°51′13″N  73°02′23″O,,Sabanalarguense,William Alberto Roa Alonso,855050,UTC  -5
1008,Gutiérrez,Cundinamarca,Municipio,Colombia,1816,1886-09-03 00:00:00,527.0,2350.0,4097.0,1116.0,,4°15′15″N  74°00′11″O,,Gutierrense,Juan Pablo Sánchez Morales,251860,UTC  -5
1009,Santa María,Boyacá,Municipio,Colombia,1944,1961-12-01 00:00:00,326.44,850.0,3980.0,2298.0,12.21,4°51′36″N  73°15′46″O,,Santamariense,Pablo Antonio Bernal Sanchez,412020,UTC  -5
1010,Labranzagrande,Boyacá,Municipio,Colombia,1586-04-01 00:00:00,,625.3,1210.0,5099.0,1159.0,8.15,5°33′48″N  72°34′39″O,,"Labrancero, -a",Erica Paola Peña Alvarez,151840,UTC  -5
1011,Encino,Santander,Municipio,Colombia,1773-08-09 00:00:00,,72.73,1484.0,3323.0,640.0,,6°40′05″N  72°42′00″O,,"Encisano, -a",Yamith Hernandez Blanco,682541,UTC  -5
1012,Pulí,Cundinamarca,Municipio,Colombia,1800-07-12 00:00:00,,223.0,1270.0,2999.0,662.0,,4°40′55″N  74°42′53″O,,"Puliseño, -a",Jose William Herreño Lozano,252801,UTC  -5
1013,Santa Helena del Opón,Santander,Municipio,Colombia,1917,1975-05-15 00:00:00,387.83,1060.0,4304.0,610.0,21.74,6°20′21″N  73°37′00″O,,"Santahelenero, -a",Diego Alberto Meneses Molina,685501,UTC  -5
1014,Guayatá,Boyacá,Municipio,Colombia,1810,1821-04-06 00:00:00,112.0,1803.0,5126.0,1302.0,45.77,4°57′58″N  73°29′21″O,,"Guayatuno, -a",John Santiago Ruíz Alfonso,153040,UTC  -5
1015,Tinjacá,Boyacá,Municipio,Colombia,1556-11-07 00:00:00,1778,79.26,2192.0,3035.0,455.0,38.28,5°34′51″N  73°38′46″O,,"Tinjaqueño, -a",Alsilver Sierra Mendieta,153840,UTC  -5
1016,Jesús María (Santander),Santander,Municipio,Colombia,1746-02-09 00:00:00,1887-08-12 00:00:00,72.47,1850.0,3137.0,854.0,52.28,5°52′34″N  73°46′57″O,,Jesusmariense,Eduard Jesús Sánchez Ariza 2020-2023,684551,UTC  -5
1017,Confines,Santander,Municipio,Colombia,1773-08-03 00:00:00,,88.0,1500.0,2705.0,402.0,,6°21′21″N  73°14′27″O,,"Confinero, -a",,683531,UTC  -5
1018,Tipacoque,Boyacá,Municipio,Colombia,,1968-11-28 00:00:00,73.0,1850.0,3206.0,867.0,44.53,6°25′13″N  72°41′30″O,,Tipacoques,Carlos Nelson Díaz Pérez,151020,UTC  -5
1019,Tibirita,Cundinamarca,Municipio,Colombia,1593-07-08 00:00:00,1778,57.0,1980.0,2950.0,492.0,51.75,5°03′04″N  73°30′15″O,,"Tibiritano, -a",María Antonia Martín Mateus,250820,UTC  -5
1020,Páez,Boyacá,Municipio,Colombia,,1962-11-26 00:00:00,443.0,1300.0,2913.0,1169.0,,5°05′56″N  73°03′06″O,,Paence,,192501,UTC  -5
1021,Floresta,Boyacá,Municipio,Colombia,,,85.0,2500.0,4523.0,1798.0,53.21,5°51′34″N  72°55′07″O,,"Florestano, -a",Wilmar Julian Rincón Mariño,150601,UTC  -5
1022,Sipí,Chocó,Municipio,Colombia,1556-01-01 00:00:00,1956-12-05 00:00:00,196.55,85.0,4048.0,348.0,3.18,4°39′06″N  76°38′38″O,,"Sipiano, -a]",Yeison Wilmer Rivas Murillo,274050,UTC  -5
1023,Gama,Cundinamarca,Municipio,Colombia,1903-05-08 00:00:00,,15.0,2180.0,3996.0,841.0,37.0,4°45′46″N  73°36′39″O,,Gamense,Juan Pablo Linares Gomez,251240,UTC  -5
1024,Santa Sofía,Boyacá,Municipio,Colombia,1810-01-10 00:00:00,,78.0,2387.0,2704.0,721.0,27.59,5°42′49″N  73°36′11″O,,"Sofileño, -a",William Gustavo Parra Merchan,154240,UTC  -5
1025,Carurú,Vaupés,Municipio,Colombia,1967,1993-08-07 00:00:00,6982.0,194.0,3327.0,635.0,0.48,1°00′48″N  71°18′00″O,,Carurense,,973001,UTC  -5
1026,Chinavita,Boyacá,Municipio,Colombia,1822-09-12 00:00:00,,148.0,1763.0,3528.0,1219.0,23.84,5°10′01″N  73°22′08″O,,Chinavitense,Fiyer Alexander Urrego Bejarano,153280,UTC  -5
1027,Olaya,Antioquia,Municipio,Colombia,1773-01-01 00:00:00,1936,90.0,500.0,3127.0,217.0,,6°37′40″N  75°48′43″O,,Olayense,José Humberto Cardona González,51450,UTC  -5
1028,San Mateo,Boyacá,Municipio,Colombia,1773-09-21 00:00:00,1914-03-03 00:00:00,131.0,2500.0,3682.0,1478.0,28.11,6°24′09″N  72°33′18″O,,Sanmatense,Milton Díaz Bonilla,151201,UTC  -5
1029,Buenavista,Quindío,Municipio,Colombia,1933-03-04 00:00:00,1967-03-11 00:00:00,41.1,1477.0,2833.0,1188.0,,4°21′35″N  75°44′21″O,,"Buenavisteño, -a",Alexis Gómez Gómez,702030,UTC  -5
1030,Caldas,Boyacá,Municipio,Colombia,,1837-10-22 00:00:00,84.0,2680.0,3638.0,248.0,,5°33′15″N  73°51′56″O,,Caldense,Isnardo Alfonso Castellanos Peña,154660,UTC  -5
1031,Sora,Boyacá,Municipio,Colombia,1556-08-12 00:00:00,1777-12-29 00:00:00,42.0,2650.0,3025.0,499.0,72.02,5°33′59″N  73°27′01″O,,"Sorano, -a",Flavio Hernan Largo Duran,154040,UTC  -5
1032,Campohermoso,Boyacá,Municipio,Colombia,1602-11-30 00:00:00,,302.0,1100.0,3847.0,964.0,12.74,5°01′52″N  73°06′12″O,,"Campohermoseño, -a",Jaime Yesid Rodriguez Romero,152640,UTC  -5
1033,El Espino (Boyacá),Boyacá,Municipio,Colombia,1790-12-11 00:00:00,,70.0,2128.0,3061.0,1303.0,59.93,6°28′57″N  72°29′48″O,,Espinense,Edberto José Jaime Cocunubo,151240,UTC  -5
1034,San Miguel de Sema,Boyacá,Municipio,Colombia,1915-11-08 00:00:00,1960-11-29 00:00:00,90.0,2650.0,4556.0,488.0,50.62,5°31′04″N  73°43′22″O,,Sanmiguelense,Oscar Triviño Gil,681551,UTC  -5
1035,San Benito,Santander,Municipio,Colombia,1592-01-01 00:00:00,1978,67.0,1200.0,3986.0,464.0,59.49,6°07′36″N  73°30′32″O,,Sanbeneditino,Jaime Amado Argüello,685531,UTC  -5
1036,La Chorrera,Amazonas,Área no municipalizada,Colombia,1972,1988-08-23 00:00:00,12670.0,184.0,3878.0,,0.16,1°27′10″S  72°47′51″O,,,,914050,UTC  -5
1037,Cácota de Velasco,Norte de Santander,Municipio,Colombia,1760-01-02 00:00:00,,139.84,2465.0,1925.0,563.0,13.77,7°16′04″N  72°38′30″O,,"Cacoteño, -a",Manuel Isidro Cañas,544010,UTC  -5
1038,Galán,Santander,Municipio,Colombia,1783-08-28 00:00:00,1844,205.7,950.0,2311.0,614.0,,6°38′16″N  73°17′16″O,,"Galanero, -a",Sofía Medina Serrano,684051,UTC  -5
1039,Oicatá,Boyacá,Municipio,Colombia,1539-05-09 00:00:00,1776,59.0,2715.0,2797.0,301.0,48.03,5°35′40″N  73°18′29″O,"Frío , 13 °C (promedio)",Oicatense,Fredy Garzón Rojas,150220,UTC  -5
1040,Charta,Santander,Municipio,Colombia,1927-12-01 00:00:00,,152.0,2000.0,2670.0,592.0,17.57,7°16′50″N  72°58′07″O,,"Chartero, -a",Álvaro Rojas Toloza,680551,UTC  -5
1041,Somondoco,Boyacá,Municipio,Colombia,1537-11-01 00:00:00,1656,58.7,1670.0,3632.0,795.0,61.87,4°59′10″N  73°25′56″O,,"Somondocano, -a",Edison Rolando Gaitán,153030,UTC  -5
1042,Chima,Santander,Municipio,Colombia,1722-02-16 00:00:00,,152.0,890.0,3087.0,862.0,,6°20′38″N  73°22′20″O,,"Chimero, -a",Sergio Alexander González,683001,UTC  -5
1043,Chivatá,Boyacá,Municipio,Colombia,1556-03-05 00:00:00,1976,56.0,2903.0,6199.0,2557.0,110.7,5°33′31″N  73°16′56″O,,Chivatense,Rafael Antonio Fonseca Cely,150240,UTC  -5
1044,Viracachá,Boyacá,Municipio,Colombia,1556-02-15 00:00:00,1787,68.0,2520.0,3222.0,374.0,47.38,5°26′11″N  73°17′46″O,,Viracachense,Gregorio Rodriguez Soler,153450,UTC  -5
